model_name,d_in,d_out,d_out2,prec,model_file
dense_16_24_128_2b,16,24,128,2,pregen_2layer_models/dense_16_24_128_2b.h5
dense_16_24_128_4b,16,24,128,4,pregen_2layer_models/dense_16_24_128_4b.h5
dense_16_24_128_6b,16,24,128,6,pregen_2layer_models/dense_16_24_128_6b.h5
dense_16_24_128_8b,16,24,128,8,pregen_2layer_models/dense_16_24_128_8b.h5
dense_16_24_128_10b,16,24,128,10,pregen_2layer_models/dense_16_24_128_10b.h5
dense_16_24_128_12b,16,24,128,12,pregen_2layer_models/dense_16_24_128_12b.h5
dense_16_24_128_14b,16,24,128,14,pregen_2layer_models/dense_16_24_128_14b.h5
dense_16_24_128_16b,16,24,128,16,pregen_2layer_models/dense_16_24_128_16b.h5
dense_16_32_72_2b,16,32,72,2,pregen_2layer_models/dense_16_32_72_2b.h5
dense_16_32_72_4b,16,32,72,4,pregen_2layer_models/dense_16_32_72_4b.h5
dense_16_32_72_6b,16,32,72,6,pregen_2layer_models/dense_16_32_72_6b.h5
dense_16_32_72_8b,16,32,72,8,pregen_2layer_models/dense_16_32_72_8b.h5
dense_16_32_72_10b,16,32,72,10,pregen_2layer_models/dense_16_32_72_10b.h5
dense_16_32_72_12b,16,32,72,12,pregen_2layer_models/dense_16_32_72_12b.h5
dense_16_32_72_14b,16,32,72,14,pregen_2layer_models/dense_16_32_72_14b.h5
dense_16_32_72_16b,16,32,72,16,pregen_2layer_models/dense_16_32_72_16b.h5
dense_16_32_80_2b,16,32,80,2,pregen_2layer_models/dense_16_32_80_2b.h5
dense_16_32_80_4b,16,32,80,4,pregen_2layer_models/dense_16_32_80_4b.h5
dense_16_32_80_6b,16,32,80,6,pregen_2layer_models/dense_16_32_80_6b.h5
dense_16_32_80_8b,16,32,80,8,pregen_2layer_models/dense_16_32_80_8b.h5
dense_16_32_80_10b,16,32,80,10,pregen_2layer_models/dense_16_32_80_10b.h5
dense_16_32_80_12b,16,32,80,12,pregen_2layer_models/dense_16_32_80_12b.h5
dense_16_32_80_14b,16,32,80,14,pregen_2layer_models/dense_16_32_80_14b.h5
dense_16_32_80_16b,16,32,80,16,pregen_2layer_models/dense_16_32_80_16b.h5
dense_16_32_88_2b,16,32,88,2,pregen_2layer_models/dense_16_32_88_2b.h5
dense_16_32_88_4b,16,32,88,4,pregen_2layer_models/dense_16_32_88_4b.h5
dense_16_32_88_6b,16,32,88,6,pregen_2layer_models/dense_16_32_88_6b.h5
dense_16_32_88_8b,16,32,88,8,pregen_2layer_models/dense_16_32_88_8b.h5
dense_16_32_88_10b,16,32,88,10,pregen_2layer_models/dense_16_32_88_10b.h5
dense_16_32_88_12b,16,32,88,12,pregen_2layer_models/dense_16_32_88_12b.h5
dense_16_32_88_14b,16,32,88,14,pregen_2layer_models/dense_16_32_88_14b.h5
dense_16_32_88_16b,16,32,88,16,pregen_2layer_models/dense_16_32_88_16b.h5
dense_16_32_96_2b,16,32,96,2,pregen_2layer_models/dense_16_32_96_2b.h5
dense_16_32_96_4b,16,32,96,4,pregen_2layer_models/dense_16_32_96_4b.h5
dense_16_32_96_6b,16,32,96,6,pregen_2layer_models/dense_16_32_96_6b.h5
dense_16_32_96_8b,16,32,96,8,pregen_2layer_models/dense_16_32_96_8b.h5
