model_name,d_in,d_out,prec,model_file
dense_128_224_14b,128,224,14,pregen_models/dense_128_224_14b.h5
dense_128_256_2b,128,256,2,pregen_models/dense_128_256_2b.h5
dense_128_256_4b,128,256,4,pregen_models/dense_128_256_4b.h5
dense_128_256_6b,128,256,6,pregen_models/dense_128_256_6b.h5
dense_128_256_8b,128,256,8,pregen_models/dense_128_256_8b.h5
dense_128_256_10b,128,256,10,pregen_models/dense_128_256_10b.h5
dense_128_256_12b,128,256,12,pregen_models/dense_128_256_12b.h5
dense_128_256_14b,128,256,14,pregen_models/dense_128_256_14b.h5
dense_160_32_2b,160,32,2,pregen_models/dense_160_32_2b.h5
dense_160_32_4b,160,32,4,pregen_models/dense_160_32_4b.h5
dense_160_32_6b,160,32,6,pregen_models/dense_160_32_6b.h5
dense_160_32_8b,160,32,8,pregen_models/dense_160_32_8b.h5
dense_160_32_10b,160,32,10,pregen_models/dense_160_32_10b.h5
dense_160_32_12b,160,32,12,pregen_models/dense_160_32_12b.h5
dense_160_32_14b,160,32,14,pregen_models/dense_160_32_14b.h5
dense_160_64_2b,160,64,2,pregen_models/dense_160_64_2b.h5
dense_160_64_4b,160,64,4,pregen_models/dense_160_64_4b.h5
dense_160_64_6b,160,64,6,pregen_models/dense_160_64_6b.h5
dense_160_64_8b,160,64,8,pregen_models/dense_160_64_8b.h5
dense_160_64_10b,160,64,10,pregen_models/dense_160_64_10b.h5
dense_160_64_12b,160,64,12,pregen_models/dense_160_64_12b.h5
dense_160_64_14b,160,64,14,pregen_models/dense_160_64_14b.h5
dense_160_96_2b,160,96,2,pregen_models/dense_160_96_2b.h5
dense_160_96_4b,160,96,4,pregen_models/dense_160_96_4b.h5
dense_160_96_6b,160,96,6,pregen_models/dense_160_96_6b.h5
dense_160_96_8b,160,96,8,pregen_models/dense_160_96_8b.h5
dense_160_96_10b,160,96,10,pregen_models/dense_160_96_10b.h5
dense_160_96_12b,160,96,12,pregen_models/dense_160_96_12b.h5
dense_160_96_14b,160,96,14,pregen_models/dense_160_96_14b.h5
dense_160_128_2b,160,128,2,pregen_models/dense_160_128_2b.h5
dense_160_128_4b,160,128,4,pregen_models/dense_160_128_4b.h5
dense_160_128_6b,160,128,6,pregen_models/dense_160_128_6b.h5
dense_160_128_8b,160,128,8,pregen_models/dense_160_128_8b.h5
dense_160_128_10b,160,128,10,pregen_models/dense_160_128_10b.h5
dense_160_128_12b,160,128,12,pregen_models/dense_160_128_12b.h5
dense_160_128_14b,160,128,14,pregen_models/dense_160_128_14b.h5
dense_160_160_2b,160,160,2,pregen_models/dense_160_160_2b.h5
dense_160_160_4b,160,160,4,pregen_models/dense_160_160_4b.h5
dense_160_160_6b,160,160,6,pregen_models/dense_160_160_6b.h5
dense_160_160_8b,160,160,8,pregen_models/dense_160_160_8b.h5
dense_160_160_10b,160,160,10,pregen_models/dense_160_160_10b.h5
dense_160_160_12b,160,160,12,pregen_models/dense_160_160_12b.h5
dense_160_160_14b,160,160,14,pregen_models/dense_160_160_14b.h5
dense_160_192_2b,160,192,2,pregen_models/dense_160_192_2b.h5
dense_160_192_4b,160,192,4,pregen_models/dense_160_192_4b.h5
dense_160_192_6b,160,192,6,pregen_models/dense_160_192_6b.h5
dense_160_192_8b,160,192,8,pregen_models/dense_160_192_8b.h5
dense_160_192_10b,160,192,10,pregen_models/dense_160_192_10b.h5
dense_160_192_12b,160,192,12,pregen_models/dense_160_192_12b.h5
dense_160_192_14b,160,192,14,pregen_models/dense_160_192_14b.h5
dense_160_224_2b,160,224,2,pregen_models/dense_160_224_2b.h5
dense_160_224_4b,160,224,4,pregen_models/dense_160_224_4b.h5
dense_160_224_6b,160,224,6,pregen_models/dense_160_224_6b.h5
dense_160_224_8b,160,224,8,pregen_models/dense_160_224_8b.h5
dense_160_224_10b,160,224,10,pregen_models/dense_160_224_10b.h5
dense_160_224_12b,160,224,12,pregen_models/dense_160_224_12b.h5
dense_160_224_14b,160,224,14,pregen_models/dense_160_224_14b.h5
dense_160_256_2b,160,256,2,pregen_models/dense_160_256_2b.h5
dense_160_256_4b,160,256,4,pregen_models/dense_160_256_4b.h5
dense_160_256_6b,160,256,6,pregen_models/dense_160_256_6b.h5
dense_160_256_8b,160,256,8,pregen_models/dense_160_256_8b.h5
dense_160_256_10b,160,256,10,pregen_models/dense_160_256_10b.h5
dense_160_256_12b,160,256,12,pregen_models/dense_160_256_12b.h5
dense_160_256_14b,160,256,14,pregen_models/dense_160_256_14b.h5
dense_192_32_2b,192,32,2,pregen_models/dense_192_32_2b.h5
dense_192_32_4b,192,32,4,pregen_models/dense_192_32_4b.h5
